.1.3.6.1.4.1.4458.1000.1.1.1.0 "PTMP SU"
.1.3.6.1.4.1.4458.1000.1.1.2.0 "710U"
.1.3.6.1.4.1.4458.1000.1.1.3.0 "5.1.32_b0006_Mar 30 2022"
.1.3.6.1.4.1.4458.1000.1.1.4.0 "Link"
.1.3.6.1.4.1.4458.1000.1.1.5.0 0
.1.3.6.1.4.1.4458.1000.1.1.6.0 192.168.19.23
.1.3.6.1.4.1.4458.1000.1.1.7.0 255.255.255.0
.1.3.6.1.4.1.4458.1000.1.1.8.0 192.168.19.1
.1.3.6.1.4.1.4458.1000.1.1.10.0 0
.1.3.6.1.4.1.4458.1000.1.1.11.0 "Standard"
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.1 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.2 2
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.3 3
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.4 4
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.5 5
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.6 6
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.7 7
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.8 8
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.9 9
.1.3.6.1.4.1.4458.1000.1.1.12.1.1.10 10
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.1 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.2 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.3 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.4 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.5 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.6 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.7 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.8 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.9 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.2.10 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.1 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.2 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.3 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.4 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.5 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.6 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.7 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.8 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.9 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.3.10 162
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.1 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.2 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.3 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.4 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.5 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.6 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.7 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.8 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.9 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.4.10 1
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.1 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.2 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.3 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.4 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.5 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.6 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.7 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.8 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.9 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.5.10 ""
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.1 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.2 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.3 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.4 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.5 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.6 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.7 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.8 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.9 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.6.10 "**********"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.1 "::"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.2 "::"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.3 "::"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.4 "::"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.5 "::"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.6 "::"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.7 "::"
.1.3.6.1.4.1.4458.1000.1.1.12.1.7.8 "::"
